Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
1/10/2000,20H 24M 0S,Beechcraft D18,Methow Aviation,N1827M,Takeoff (climb),Cargo,Yes,Airport (less than 10 km from airport),Everett - Burlington,A-394,1947,NA,Everett-Paine Field Washington,United States of America,North America,1,0,0,0,0,0,"The pilot reported that the start, taxi and run-up were normal. The engines were producing full power for the takeoff ground roll. The pilot stated that the airplane lifted off and attained an altitude of approximately five feet when it began to bank and roll to the left. The pilot applied corrective action, however, the airplane would not respond. The pilot elected to abort the take off and reduced engine power. The airplane touched down in the soft dirt/grass next to the runway. The main landing gear collapsed and the airplane slid to a stop. The pilot reported that there was no indication of a mechanical failure or malfunction with the engines. An FAA inspector verified flight control continuity with no abnormalities noted.",Unknown
1/13/2000,12H 38M 0S,Short 360,Sirte Oil Company,HB-AAM,Landing (descent or approach),Charter/Taxi (Non Scheduled Revenue Flight),Yes,"Lake, Sea, Ocean, River",Tripoli - Marsa el Brega,3763,1990,NA,Marsa el Brega Al Wahat (<U+0627><U+0644><U+0648><U+0627><U+062D><U+0627><U+062A>),Libya,Africa,3,1,38,21,0,22,"The aircraft took off at 0929 utc from Tripoli-Intl Airport with two flight crew, one cabin crew and 38 passengers of which three children and one infant with 3,200 lbs of fuel on board. The aircraft flew on the route Tripoli - Beniwalid - Tilal direct to Marsa Brega. During flight, the crew have noticed fuel imbalance so they did a cross feeding until fuel balanced at 11:17:12 utc. At 11:25:51 utc, the aircraft started to descend from FL070 at 40 nm from Marsa Brega. At 11:36:57 utc, the left engine flamed out and the captain asked his f/o to confirm left engine failure at 11:37:27 utc. The f/o confirmed the left engine failure at 11:37:28 utc. The right engine flamed out at 11:37:39 utc. The captain asked his f/o to inform soc operation at Marsa Brega about the two engines failure and his decision to ditch at 11:37:57 utc. The captain asked his f/o to relight the engine at 11:38:05 utc. The GPWS activated since the aircraft was in an unsafe situation. At 11:38:34 utc, the aircraft ditched in the sea at 30 23.457 N 019 28.953 E. Both pilots and 17 other occupants were rescued while 22 other people including the cabin crew were killed. The aircraft was destroyed. Most of the passengers were employees of the Sirte Oil Company and working at the Marsa Brega Oil Complex. On board were 15 Libyans (among them both pilots), 13 British, two Canadians, three Indians, three Croatians, three Philippines, one Pakistan and one Tunisian, the cabin crew. Operated by the Libyan Sirte Oil Company, the aircraft was owned by Avisto, a Swiss operator.",Human factor
1/13/2000,10H 30M 0S,De Havilland DHC-2 Beaver,Cargair,C-FIVA,Flight,Charter/Taxi (Non Scheduled Revenue Flight),Yes,Mountains,Saint-Michel-des-Saints - La Pourvoirie des 100 Lacs - Lac Adonis,515,1953,NA,Lake Adonis Quebec,Canada,North America,1,1,5,2,0,3,"The DHC-2 Mk. 1 skiplane, registration C-FIVA, serial number 515, with the pilot and five passengers on board, took off from the frozen surface of Lake Adonis, Quebec, on a pleasure flight under visual flight rules (VFR). The route had not been determined, but the flight was to last about 20 minutes. When the aircraft did not return, the search and rescue (SAR) service was advised. The aircraft was found crashed on a mountainside in a wooded area a little less than five km from its point of departure. The pilot and two passengers suffered fatal injuries. The other three passengers suffered serious injuries and hypothermia. The aircraft was destroyed by the force of the impact but did not catch fire. The five passenger, all from the same family, were originating from Marseille, France.",Human factor
1/15/2000,13H 4M 0S,Let L-410,Taxi Aéreo Centroamericano - TACSA,YS-09-C,Takeoff (climb),Charter/Taxi (Non Scheduled Revenue Flight),Yes,City,San José - Tortuguero,86 16 20,1986,NA,San José-Tobías Bolaños Heredia (Center-North),Costa Rica,Central America,3,1,15,4,0,5,"After takeoff from San José-Tobías Bolaños Airport, en route to the Tortuguero National Park, while in initial climb, the aircraft stalled and crashed onto a house located in the district of Rohrmoser, about 3 km southeast of the airport. Four passengers were killed while 14 other occupants were injured, some seriously. Three people in the house, a nurse and two little girls were uninjured. Fifteen days after the accident, on January 30, the captain died from his injuries.",Human factor
1/18/2000,12H 2M 0S,Beechcraft 90 King Air,Hart Corporation Delaware Division,N74CC,Landing (descent or approach),Executive/Corporate/Business,No,Airport (less than 10 km from airport),0,LJ-620,1974,NA,Somerset Kentucky,United States of America,North America,1,1,3,3,0,4,"The pilot requested and received clearance to execute the SDF approach, and was instructed to maintain 4,000 feet until established on the approach. Radar data revealed the airplane was never established on the approach, and started to descend before reaching the IAF. The airplane passed the IAF at 2,900 feet, and continued in a descending left hand turn into unprotected airspace. The airplane disappeared from radar at 1,900 feet, as it completed 180 degrees of turn. The turn did not match any of the four instrument approaches to the airport. The airplane struck a guy wire on a lighted communications antenna 3.3 MN southeast of the airport on a heading of 360 degrees. No evidence of a mechanical failure or malfunction of the airplane or its systems was found. A flight check by the FAA confirmed no navigation signal was received for the approach, which had been turned off and listed as out of service for over 4 years. In addition, the pilot did not report the lack of a navigation signal to ATC or execute a missed approach. Interviews disclosed the ATC controller failed to verify the approach was in service before issuing the approach clearance.",Human factor
1/22/2000,11H 45M 0S,Cessna 207 Skywagon/Stationair,Aerodomca - Aeronaves Dominicanas,HI-528CT,Flight,Charter/Taxi (Non Scheduled Revenue Flight),No,"Plain, Valley",NA,207-0112,1969,NA,Las Terrenas Samaná,Dominican Republic,Central America,1,1,6,6,0,7,"The single engine aircraft was completing a local touristic flight with six passengers and a pilot on board. While flying at low altitude in the vicinity of the Samaná Bay, the aircraft collided with a coconut tree. The right wing was torn off and the aircraft crashed, killing all seven occupants. Weather conditions were good at the time of the accident.",Human factor
1/24/2000,NA,Beechcraft 90 King Air,Top Air,TC-DBZ,Flight,Executive/Corporate/Business,No,"Plain, Valley",Ankara - Istanbul,LJ-703,1977,NA,Güdül Central Anatolia Region (Iç Anadolu Bölgesi),Turkey,Asia,1,1,3,3,0,4,"The twin engine airplane departed Ankara-Esenboga Airport on a flight to Istanbul with three passengers and one pilot on board, among the operator's President. Few minutes after takeoff, while flying in poor weather conditions due to snow falls, the aircraft went out of control and crashed in a field located in Güdül, about 65 km west of Ankara-Esenboga Airport. All four occupants were killed.",Unknown
1/27/2000,10H 15M 0S,Mitsubishi MU-300 Diamond,Matrix Aviation,N900WJ,Landing (descent or approach),Executive/Corporate/Business,Yes,Airport (less than 10 km from airport),Austin - Dallas,A028SA,1982,NA,Dallas-Love Field Texas,United States of America,North America,2,0,4,0,0,0,"Freezing rain, mist, and ice pellets were forecast for the destination airport with temperatures 34 to 32 degrees F. During the daylight IMC descent and vectors for the approach, the airplane began to accumulate moderate clear ice, and a master warning light illumination in the cockpit indicated that the horizontal stabilizer heat had failed. The airplane was configured at 120 knots and 10 degrees flaps in accordance with the flight manual abnormal procedures checklist; however, the crew did not activate the horizontal stabilizer deice backup system. The aircraft touched down 1,500 ft down the runway, which was contaminated with slush, and did not have any braking action or antiskid for 3,000 ft on the 7,753-ft runway. Therefore, 3,253 ft of runway remained for stopping the aircraft, which was 192 feet short of the 3,445 ft required for a dry runway landing. Upon observing a down hill embankment and support poles beyond the runway, the captain forced the airplane to depart the right side of the runway to avoid the poles. After the airplane started down the embankment, the nose landing gear collapsed, and the airplane came to a stop.",Human factor
2/2/2000,14H 7M 0S,Beechcraft D18,Florida Air Cargo,N122V,Flight,Cargo,Yes,"Lake, Sea, Ocean, River",Miami - Nassau,A-828,1952,NA,Bimini Bimini,Bahamas,Central America,1,0,1,0,0,0,"On February 2, 2000, about 1407 eastern standard time, a Beech D18S, N122V, registered to South Florida Aircraft Leasing, Inc., operated by Florida Air Cargo, Inc., was ditched in the Atlantic Ocean, approximately 47 miles east of Bimini, Bahamas. Visual meteorological conditions prevailed at the time and a visual flight rules (VFR) flight plan was filed for the 14 CFR Part 135 non-scheduled, international, cargo flight. The airplane was substantially damaged and the commercial-rated pilot was not injured, one passenger sustained minor injuries. The flight originated about 1305 from the Opa Locka Airport, Opa Locka, Florida. The pilot stated that the flight departed with all five fuel tanks full of fuel and departed with the left fuel selector positioned to the ""main tank"" position. The flight continued and approximately 10 minutes after takeoff, he switched the left fuel selector to the auxiliary position and remained on that tank for approximately 35 minutes. When the flight was approximately 20 miles east of Bimini, he switched the left fuel selector to the main tank position where it remained for 5 minutes before he added climb power. While about 45 miles east of Bimini, climbing through 2,300 feet with a good rate of climb, the left manifold pressure dropped to 27 inches and the propeller rpm dropped to 1,300. He turned to fly to Bimini, broadcast a mayday call, and reported no unusual vibration; the fuel pressure and oil pressure gauges indicated normal. He repositioned the fuel selector but the left engine would not restart. He then feathered the left propeller and secured the engine but was unable to maintain altitude with full power applied to the right engine. The airplane was ditched in a slight left wing low attitude and the left engine separated from the airframe. Both occupants exited the airplane, remained in the water for 47 minutes, then were spotted by a U.S. Coast Guard Falcon airplane. They were rescued by a pleasure boat and transported to the east coast of Florida.",Technical failure
2/3/2000,17H 36M 0S,Boeing 707,Trans Arabian Air Transport - TAAT,ST-APY,Landing (descent or approach),Cargo,Yes,"Lake, Sea, Ocean, River",Khartoum - Mwanza - Brussels,19412,1967,NA,Mwanza Mwanza Region,Tanzania,Africa,5,0,0,0,0,0,"The aircraft was departed Khartoum for a flight to Mwanza where it was supposed to pick up a cargo of 38 tonnes of fish fillet from Vick Fish Processors for delivery in Europe. When it went dark en route to Mwanza, the radio altimeter integral light was found to be unserviceable. The crew were not able to fix the problem and the continued using the FMS. The crew contacted Mwanza tower at 16:58 and were being advised that there was no power at the airport and that efforts were being made to use a standby generator. Further information passed on the crew reportedly included VOR, DME and NDB all unserviceable, weather: wind calm, 8 km visibility, temperature 25deg C and QNH 1015. After holding for 10 minutes, the airport generator came on and the runway lights went on. The first officer, who was pilot flying, started a visual runway 12 approach. When well established on finals with full landing configuration, the captain told the f/o that he was too low, and a few seconds later he told the f/o he was too high. Both the captain and the flight engineer then told the f/o to go around. The f/o overshot and climbed to 5500 feet on the downwind leg. Turning on the left base the captain remarked that the turn was too tight: "".. I will do a 360-degree turn to the right and position you finals"". The captain thus took over control and started a right turn at 4400 feet. Just before completing the turn, the f/o said: ""do not go down anymore, the altimeter is reading 4100 feet"". Almost aligned with the runway, the f/o took over control again. At that same moment the aircraft bounced 2 or 3 times yawing to the left and came down to a halt in the middle of the lake.",Human factor
