Date,Time,Aircraft,Operator,Registration,Flight phase,Flight type,Survivors,Crash site,Schedule,MSN,YOM,Flight no.,Crash location,Country,Region,Crew on board,Crew fatalities,Pax on board,PAX fatalities,Other fatalities,Total fatalities,Circumstances,Crash cause
1/14/2000,12H 16M 0S,Lockheed C-130 Hercules,TAM Bolivia - Transporte Aéreo Militar Boliviano,TAM-60,Takeoff (climb),Military,Yes,Airport (less than 10 km from airport),Chimore - Trinidad,3559,1960,NA,Chimore Cochabamba,Bolivia,South America,7,0,24,5,0,5,"During the takeoff roll on runway 35 at Chimore Airport, about 600 meters from the end, the airplane went out of control, veered off runway to the left, impacted a drainage ditch (3 metres deep) and crashed in a wooded area. Five occupants were killed while 26 other occupants were injured. The aircraft was destroyed.",Unknown
1/18/2000,12H 2M 0S,Beechcraft 90 King Air,Hart Corporation Delaware Division,N74CC,Landing (descent or approach),Executive/Corporate/Business,No,Airport (less than 10 km from airport),0,LJ-620,1974,NA,Somerset Kentucky,United States of America,North America,1,1,3,3,0,4,"The pilot requested and received clearance to execute the SDF approach, and was instructed to maintain 4,000 feet until established on the approach. Radar data revealed the airplane was never established on the approach, and started to descend before reaching the IAF. The airplane passed the IAF at 2,900 feet, and continued in a descending left hand turn into unprotected airspace. The airplane disappeared from radar at 1,900 feet, as it completed 180 degrees of turn. The turn did not match any of the four instrument approaches to the airport. The airplane struck a guy wire on a lighted communications antenna 3.3 MN southeast of the airport on a heading of 360 degrees. No evidence of a mechanical failure or malfunction of the airplane or its systems was found. A flight check by the FAA confirmed no navigation signal was received for the approach, which had been turned off and listed as out of service for over 4 years. In addition, the pilot did not report the lack of a navigation signal to ATC or execute a missed approach. Interviews disclosed the ATC controller failed to verify the approach was in service before issuing the approach clearance.",Human factor
1/24/2000,NA,Beechcraft 90 King Air,Top Air,TC-DBZ,Flight,Executive/Corporate/Business,No,"Plain, Valley",Ankara - Istanbul,LJ-703,1977,NA,Güdül Central Anatolia Region (Iç Anadolu Bölgesi),Turkey,Asia,1,1,3,3,0,4,"The twin engine airplane departed Ankara-Esenboga Airport on a flight to Istanbul with three passengers and one pilot on board, among the operator's President. Few minutes after takeoff, while flying in poor weather conditions due to snow falls, the aircraft went out of control and crashed in a field located in Güdül, about 65 km west of Ankara-Esenboga Airport. All four occupants were killed.",Unknown
1/25/2000,12H 25M 0S,Cessna 404 Titan,Procuraduría General de la República,XC-AA91,Takeoff (climb),Government,No,Airport (less than 10 km from airport),Guadalajara - Uruapan,404-0451,1979,NA,Guadalajara-Miguel Hidalgo y Costilla Jalisco,Mexico,Central America,2,2,3,3,0,5,"The twin engine aircraft departed Guadalajara-Miguel Hidalgo y Costilla Airport on a flight to Uruapan, carrying three engineers and two pilots. Shortly after takeoff from runway 28, while in initial climb, the aircraft lost height and crashed. All five occupants were killed.",Unknown
1/27/2000,10H 15M 0S,Mitsubishi MU-300 Diamond,Matrix Aviation,N900WJ,Landing (descent or approach),Executive/Corporate/Business,Yes,Airport (less than 10 km from airport),Austin - Dallas,A028SA,1982,NA,Dallas-Love Field Texas,United States of America,North America,2,0,4,0,0,0,"Freezing rain, mist, and ice pellets were forecast for the destination airport with temperatures 34 to 32 degrees F. During the daylight IMC descent and vectors for the approach, the airplane began to accumulate moderate clear ice, and a master warning light illumination in the cockpit indicated that the horizontal stabilizer heat had failed. The airplane was configured at 120 knots and 10 degrees flaps in accordance with the flight manual abnormal procedures checklist; however, the crew did not activate the horizontal stabilizer deice backup system. The aircraft touched down 1,500 ft down the runway, which was contaminated with slush, and did not have any braking action or antiskid for 3,000 ft on the 7,753-ft runway. Therefore, 3,253 ft of runway remained for stopping the aircraft, which was 192 feet short of the 3,445 ft required for a dry runway landing. Upon observing a down hill embankment and support poles beyond the runway, the captain forced the airplane to depart the right side of the runway to avoid the poles. After the airplane started down the embankment, the nose landing gear collapsed, and the airplane came to a stop.",Human factor
1/31/2000,10H 30M 0S,Embraer EMB-110 Bandeirante,Government of the State of Amazonas,PP-EAM,Landing (descent or approach),Government,Yes,Airport (less than 10 km from airport),Tefé - Eirunepé,110-498,1990,NA,Envira Amazonas,Brazil,South America,2,0,17,0,0,0,"En route from Tefé to Eirunépé, weather conditions deteriorated and the crew decided to divert to the non controlled Envira Airport. Following a visual approach in heavy rain falls, the aircraft landed 500 metres past the runway threshold. After touchdown, the crew started the braking procedure but the aircraft encountered aquaplaning conditions and was unable to stop within the remaining distance. It overran and came to rest 100 metres further in a ravine. The captain was seriously injured, the copilot suffered minor injuries and all 16 passengers escaped uninjured.",Human factor
2/1/2000,10H 30M 0S,Lockheed C-130 Hercules,Islamic Republic of Iran Air Force,NA,Takeoff (climb),Training,No,Airport (less than 10 km from airport),Tehran - Hamadan,NA,NA,NA,Tehran-Mehrabad Tehran City District,Iran,Asia,6,6,0,0,0,6,"The four engine aircraft departed Tehran-Mehrabad Airport on a training flight to Hamadan, carrying six crew members. At liftoff from runway 29R, the aircraft deviated to the right and crashed on an Iran Air Airbus A300B2-203 that was towed. Both aircraft exploded instantly and were totally destroyed by a post crash fire. All six crew members on board the Hercules were killed as well as three people who were on board the Airbus.",Technical failure
2/3/2000,NA,Douglas C-47 Skytrain (DC-3),Mexican Air Force - Fuerza Aérea Mexicana,NA,Takeoff (climb),Test,Yes,Airport (less than 10 km from airport),Mexico City - Mexico City,NA,NA,NA,Mexico City-Benito Juarez Federal District of Mexico City,Mexico,Central America,2,0,0,0,0,0,"The crew departed Mexico City-Benito Juarez Airport on a local post maintenance test flight. After takeoff, while in initial climb, both engines lost power simultaneously. The crew attempted an emergency landing on a soccer field when the aircraft crash landed near a motorway. Both pilots escaped uninjured while the aircraft was damaged beyond repair.",Technical failure
2/23/2000,9H 25M 0S,Cessna 402,Ingenio y Refinería San Martín del Tabacal,LV-MEW,Landing (descent or approach),Executive/Corporate/Business,No,Mountains,Orán – Salta,402B-1310,1977,NA,Mojotoro Salta,Argentina,South America,2,2,2,2,0,4,"The twin engine aircraft departed Orán Airport at 0845LT on an executive flight to Salta, carrying two passengers and two pilots. At 0910LT, while flying under VFR mode, the crew reported his position over Moxat at an altitude of 8,000 feet. At 0923LT, he informed ATC about his position 15NM northeast of Salta Airport and was instructed to contact Salta Tower. Shortly later, the aircraft struck the slope of a mountain (Finca el Desmonde) located near Mojotoro. The aircraft disintegrated on impact and all four occupants were killed.",Human factor
2/23/2000,NA,Antonov AN-32,Indian Air Force - Bharatiya Vayu Sena,K2690,Landing (descent or approach),Military,Yes,City,NA,03 05,1984,NA,Bangalore-Hindustan Karnataka,India,Asia,0,0,0,0,0,0,"The aircraft was approaching Bangalore-Hindustan Airport when it crashed in unknown circumstances in the district of Vijayanagar, about 13 km short of runway 09 threshold. There were no casualties.",Unknown
3/22/2000,17H 45M 0S,Casa 212 Aviocar,Spanish Air Force - Ejército del Aire,TM.12D-73,Flight,Military,No,Mountains,Seville - Zaragoza,314,1983,NA,Cubillejo Castile-La Mancha,Spain,Europe,3,3,4,4,0,7,"While cruising in poor weather conditions, the twin engine aircraft struck the slope of a mountain located near Cubillejo. All seven occupants were killed.",Unknown
3/25/2000,NA,Antonov AN-32,Angolan Government,D2-MAJ,Takeoff (climb),Government,Yes,Airport (less than 10 km from airport),Huambo - Luanda,3201,1992,NA,Huambo-Albano Machado Huambo,Angola,Africa,4,0,29,3,0,3,"During the takeoff roll at Huambo-Albano Machado Airport, the pilot-in-command made a manoeuvre to avoid a hole in the runway when control was lost. The aircraft veered off runway, struck a ditch and came to rest, broken in two. Three passengers were killed.",Unknown
3/30/2000,NA,Antonov AN-26,Sri Lanka Air Force,UR-79170,Landing (descent or approach),Military,No,Airport (less than 10 km from airport),Palaly - Colombo,47313410,1980,NA,Anuradhapura North Central Province (<U+0BB5><U+0B9F> <U+0BAE><U+0BA4><U+0BCD><U+0BA4><U+0BBF><U+0BAF> <U+0BAE><U+0BBE><U+0B95><U+0BBE><U+0BA3><U+0BAE><U+0BCD>),Sri Lanka,Asia,4,4,36,36,0,40,"The aircraft departed Jaffna-Palaly Airport on a flight to Colombo, carrying mostly Marines officers. While in cruising altitude, the pilot reported an engine fire and diverted to Anuradhapura Airport. On approach, the aircraft went out of control and crashed in a wooded area located 14,5 km from the airport. The aircraft was totally destroyed and all 40 occupants were killed.","Terrorism act, Hijacking, Sabotage"
